name,title,description,year,media
iguana.jpg, iguana, 2025,
music score.png, music score, 2025,
ich bin.jpg, ich bin, 2025,
abestra 2.jpg, Abestra 2, paper, 2024,
abestra.jpg, Abestra, paper, 2024,
como escuchar.jpg,como escuchar, paper, 2024
y nada más.jpg, y nada más, paper, 2025
transversal.jpg, Transversal, digital, AI, 2024,
energia del viento.jpg, energia del viento, Digital - AI, 2024,
flower in the AI.jpg, flower in the AI - digital, AI, 2024,,
antenas cruzadas.png, Antenas Cruzadas, Digital, 2024
Serie egon gone.jpg, Serie Egon gonE - ,
s de serpiente y sandía.jpg, s de serpiente y sandía,
autoretrato.jpg, autoretrato,  2014,
orange woman.jpg, orange woman,  2016,
bonjour.jpg, bonjour,  2017,
cabeza guitarra.jpg, 2017,
calibre.jpg, calibre, 2014,
celestia.jpeg, celestia, 2017
maniquies.jpg, Maniquies, paper, 2018
Come de la manzana.jpg, Come de la manzana,
conneries.jpg, Conneries,
egon gone n1.jpg, Serie Egon gonE, 2018
el cuerpo.jpg, el cuerpo,
el esqueleto.jpg, el esqueleto,
el grito 2.jpg, el grito,
el pelo verde.jpg, el pelo verde,
el tercer ojo 1.jpg, el tercer ojo, 2014,
el tercer ojo 2.jpg, el tercer ojo 2, 2018,
la selva.jpg,la selva,
las rocas.jpg, las rocas,
la teoria del apego III.jpeg,,
la teoria del apego II.jpeg,,
la teoria del apego IV.jpeg,,
los dientes.jpg,,
mano.jpg,,
mujeres sin brazos.jpg,,
puta.jpg,,
