title,iframe
Compiled Refuge Worldwide - Dreaming - Berenice Llorens, "<iframe style="border: 0; width: 350px; height: 470px;" src="https://bandcamp.com/EmbeddedPlayer/album=564909776/size=large/bgcol=ffffff/linkcol=0687f5/tracklist=false/track=3627507800/transparent=true/" seamless><a href="https://refugeworldwide.bandcamp.com/album/refuge-worldwide-fundraiser-compilation">Refuge Worldwide Fundraiser Compilation by Refuge Worldwide</a></iframe>"
Compiled Soundscape -Sur- Berenice Llorens & Outro, <iframe style="border: 0; width: 350px; height: 350px;" src="https://bandcamp.com/EmbeddedPlayer/album=2002840004/size=large/bgcol=ffffff/linkcol=0687f5/minimal=true/track=60929281/transparent=true/" seamless><a href="https://sosperu.bandcamp.com/album/per-pa-s-con-futuro-vol-1">Perú país con futuro vol.1 by sosperu</a></iframe>"
Compiled - Perú pa​í​s con futuro vol​.​1, "<<iframe style="border: 0; width: 350px; height: 470px;" src="https://bandcamp.com/EmbeddedPlayer/album=2002840004/size=large/bgcol=ffffff/linkcol=0687f5/tracklist=false/transparent=true/" seamless><a href="https://sosperu.bandcamp.com/album/per-pa-s-con-futuro-vol-1">Perú país con futuro vol.1 by sosperu</a></iframe>"
EP - Portal del Sur,"<iframe style="border: 0; width: 350px; height: 470px;" src="https://bandcamp.com/EmbeddedPlayer/album=3684995005/size=large/bgcol=ffffff/linkcol=0687f5/tracklist=false/transparent=true/" seamless><a href="https://berenicellorens.bandcamp.com/album/portal-del-sur">Portal del Sur by Berenice Llorens</a></iframe>"
Elektra Yoda (single),"<iframe style="border: 0; width: 350px; height: 442px;" src="https://bandcamp.com/EmbeddedPlayer/track=1143149288/size=large/bgcol=ffffff/linkcol=0687f5/tracklist=false/transparent=true/" seamless><a href="https://berenicellorens.bandcamp.com/track/elektra-yoda">Elektra Yoda by Berenice Llorens</a></iframe>"
Cold FIght II (single),"<iframe style=""border: 0; width: 350px; height: 442px;"" src=""https://bandcamp.com/EmbeddedPlayer/track=700878195/size=large/bgcol=ffffff/linkcol=0687f5/tracklist=false/transparent=true/"" seamless><a href=""https://berenicellorens.bandcamp.com/track/cold-fight-ii"">Cold Fight II by Berenice Llorens</a></iframe>"
EP - Kriptonîa Split vol. XVI -  Aikida // Berenice Llorens, "<iframe style="border: 0; width: 350px; height: 470px;" src="https://bandcamp.com/EmbeddedPlayer/album=2611849642/size=large/bgcol=ffffff/linkcol=0687f5/tracklist=false/transparent=true/" seamless><a href="https://berenicellorens.bandcamp.com/album/kripton-a-split-vol-xvi-aikida-berenice-llorens">Kriptonîa Split vol. XVI Aikida // Berenice Llorens by Berenice Llorens, Kriptonîa</a></iframe>"
EP - Luresis, "<iframe style="border: 0; width: 350px; height: 350px;" src="https://bandcamp.com/EmbeddedPlayer/album=2272977869/size=large/bgcol=ffffff/linkcol=0687f5/minimal=true/track=1891570967/transparent=true/" seamless><a href="https://berenicellorens.bandcamp.com/album/luresis">Luresis by Berenice Llorens</a></iframe>"
EP - C.uno,"<iframe style=""border: 0; width: 350px; height: 470px;"" src=""https://bandcamp.com/EmbeddedPlayer/album=65467545/size=large/bgcol=ffffff/linkcol=0687f5/tracklist=false/transparent=true/"" seamless><a href=""http://berenicellorens.bandcamp.com/album/c-uno"">C.uno by Berenice Llorens</a></iframe>"
EP - Improlija,"<iframe style=""border: 0; width: 350px; height: 470px;"" src=""https://bandcamp.com/EmbeddedPlayer/album=4170461099/size=large/bgcol=ffffff/linkcol=0687f5/tracklist=false/transparent=true/"" seamless><a href=""http://berenicellorens.bandcamp.com/album/improlija"">Improlija by Berenice Llorens</a></iframe>"
