title,iframe,
La Siesta Roja E5 - Electronica y Electricidad en el tiempo - Impro Session at La Siesta del Fauno (AR) with Guillermo Billy Costa ,<iframe width="560" height="315" src="https://www.youtube.com/embed/maIFEElS2xs?si=uDPVBoBhhGt0a9lq" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe>"
Berenice x Frank - Session at Orange ear with Frank ,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/2044179568&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe><div style="font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;"><a href="https://soundcloud.com/too-slow-to-sadden" title="Frank" target="_blank" style="color: #cccccc; text-decoration: none;">Frank</a> · <a href="https://soundcloud.com/too-slow-to-sadden/improv_session_berenice_and_frank" title="Improv Session Berenice and Frank" target="_blank" style="color: #cccccc; text-decoration: none;">Improv Session Berenice and Frank</a></div>
HYENA_CALLS - Hyena Calls #8 BERENICE - Radio Show by Anna Butter ," <iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/2063756084&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe><div style="font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;"><a href="https://soundcloud.com/annabutter" title="Anna Butter" target="_blank" style="color: #cccccc; text-decoration: none;">Anna Butter</a> · <a href="https://soundcloud.com/annabutter/hyena_calls-8berenice" title="HYENA_CALLS #8 BERENICE" target="_blank" style="color: #cccccc; text-decoration: none;">HYENA_CALLS #8 BERENICE</a></div>
48 Hrs Neukölln #002 Berenice Llorens Anna Butter, Performance a duo w/ Anna Butter at Dim Things for 48 Hrs Neukölln ,"<iframe width="560" height="315" src="https://www.youtube.com/embed/5TUkIDlhRvw?si=gdavvF-6F3hAGo53" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe>"
Female Pressure podcast episode 135_Berenice Llorens ,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1490272309&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe><div style="font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;"><a href="https://soundcloud.com/femalepressure" title="female:pressure" target="_blank" style="color: #cccccc; text-decoration: none;">female:pressure</a> · <a href="https://soundcloud.com/femalepressure/fp-podcast-episode-135_berenice-llorens" title="f:p podcast episode 135_Berenice Llorens" target="_blank" style="color: #cccccc; text-decoration: none;">f:p podcast episode 135_Berenice Llorens</a></div>"
Live Set at Acud mach neu ,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1457282569&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe><div style="font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;"><a href="https://soundcloud.com/berenicellorens" title="berenice/lorens" target="_blank" style="color: #cccccc; text-decoration: none;">berenice/lorens</a> · <a href="https://soundcloud.com/berenicellorens/interferenica-live-set-at-acud-macht-neu-feb18th-2023" title="Interferencia : Live Set At Acud Macht Neu - Feb.18th" target="_blank" style="color: #cccccc; text-decoration: none;">Interferencia : Live Set At Acud Macht Neu - Feb.18th</a></div>
Amplify Radio x Rea - Charla y DJ set ,"<iframe width="560" height="315" src="https://www.youtube.com/embed/KcAvoUc_Tzo" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>
Exorcise -Graff Series #46  ,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1244817928&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe><div style="font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;"><a href="https://soundcloud.com/graffcycle" title="GRAFF®" target="_blank" style="color: #cccccc; text-decoration: none;">GRAFF®</a> · <a href="https://soundcloud.com/graffcycle/graff-series-46-berenice-llorens" title="Graff Series #46 - BERENICE LLORENS" target="_blank" style="color: #cccccc; text-decoration: none;">Graff Series #46 - BERENICE LLORENS</a></div>
1er Contacto - Las rosas Radio ,"<iframe width=""100%"" height=""400"" src=""https://www.mixcloud.com/widget/iframe/?feed=%2FBerenicecream%2Fprimer-contacto-_-exclusive-set-para-las-rosas-radio-vesica-piscis%2F"" frameborder=""0"" ></iframe>"
Moving II,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/4VF6TMibaoU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
